ID_Livro,Titulo,Numero_Paginas,Data_Aquisicao,Categoria,Valor_Aquisicao,Exemplares_Disponiveis,Biblioteca,Exemplares_Emprestados,Idioma,Renovacoes_Realizadas
30,Neuromancer #30,1061,2015-01-30,Suspense,103.05,5,ES,8,Inglês,4
31,1984 #31,451,2015-01-31,Distopia,85.71,9,MG,1,Francês,0
32,O Código Da Vinci #32,1144,2015-02-01,Distopia,147.37,7,MG,5,Português,4
33,Ensaio Sobre a Cegueira #33,644,2015-02-02,Infantil,69.23,4,MG,4,Português,3
34,Cem Anos de Solidão #34,248,2015-02-03,Ficção Científica,74.1,6,SP,6,Inglês,1
35,Neuromancer #35,993,2015-02-04,Romance,125.1,7,MG,5,Português,4
36,A Revolução dos Bichos #36,948,2015-02-05,Infantil,57.57,5,RJ,6,Português,3
37,Harry Potter #37,136,2015-02-06,Ficção Científica,54.07,5,SP,1,Francês,1
38,O Senhor dos Anéis #38,997,2015-02-07,Romance,72.93,6,MG,9,Francês,4
39,O Senhor dos Anéis #39,443,2015-02-08,Romance,92.38,9,ES,7,Português,3
40,Moby Dick #40,253,2015-02-09,Suspense,110.53,8,ES,5,Inglês,3
41,It - A Coisa #41,914,2015-02-10,Ficção Científica,148.21,4,RJ,0,Português,8
42,O Alquimista #42,699,2015-02-11,Ficção Científica,125.39,2,RJ,9,Francês,1
43,Cem Anos de Solidão #43,707,2015-02-12,Romance,21.23,3,MG,0,Inglês,6
44,Harry Potter #44,573,2015-02-13,Ficção,40.17,1,SP,11,Inglês,2
45,O Senhor dos Anéis #45,198,2015-02-14,Infantil,41.02,5,RJ,11,Espanhol,4
46,O Senhor dos Anéis #46,126,2015-02-15,Infantil,60.44,8,ES,11,Inglês,2
47,O Alquimista #47,209,2015-02-16,Suspense,26.72,8,RJ,8,Inglês,1
48,1984 #48,1073,2015-02-17,Terror,59.84,7,ES,0,Inglês,7
49,1984 #49,759,2015-02-18,Ficção,124.35,9,SP,12,Português,7
50,Cem Anos de Solidão #50,438,2015-02-19,Distopia,52.42,9,SP,12,Espanhol,3
51,O Código Da Vinci #51,1150,2015-02-20,Ficção Científica,115.94,7,RJ,1,Espanhol,0
52,Orgulho e Preconceito #52,744,2015-02-21,Suspense,92.99,10,RJ,7,Francês,7
53,Orgulho e Preconceito #53,498,2015-02-22,Infantil,91.1,10,ES,3,Espanhol,1
54,O Pequeno Príncipe #54,579,2015-02-23,Fantasia,136.49,2,ES,1,Espanhol,6
55,Moby Dick #55,541,2015-02-24,Clássico,77.68,8,ES,1,Espanhol,5
56,Dom Casmurro #56,858,2015-02-25,Fantasia,66.87,10,SP,4,Inglês,7
57,O Hobbit #57,579,2015-02-26,Suspense,114.21,4,MG,3,Português,1
58,O Código Da Vinci #58,930,2015-02-27,Distopia,29.02,3,RJ,3,Inglês,1
59,A Revolução dos Bichos #59,1071,2015-02-28,Ficção Científica,66.29,2,RJ,8,Espanhol,4
60,O Senhor dos Anéis #60,563,2015-03-01,Clássico,75.85,4,ES,6,Inglês,5
61,A Revolução dos Bichos #61,391,2015-03-02,Suspense,124.81,7,SP,1,Espanhol,5
62,A Revolução dos Bichos #62,345,2015-03-03,Terror,69.32,1,ES,6,Inglês,4
63,Dom Casmurro #63,1161,2015-03-04,Realismo Mágico,141.32,10,MG,4,Português,7
64,O Alquimista #64,757,2015-03-05,Terror,99.08,9,MG,12,Inglês,4
65,Capitães da Areia #65,820,2015-03-06,Suspense,39.89,10,RJ,12,Português,4
66,O Senhor dos Anéis #66,324,2015-03-07,Ficção Científica,74.29,2,MG,7,Inglês,0
67,Grande Sertão: Veredas #67,143,2015-03-08,Realismo Mágico,124.49,1,RJ,10,Inglês,3
68,A Revolução dos Bichos #68,914,2015-03-09,Infantil,90.15,3,SP,9,Português,2
69,Ensaio Sobre a Cegueira #69,467,2015-03-10,Ficção,39.07,3,RJ,11,Inglês,0
70,O Pequeno Príncipe #70,240,2015-03-11,Ficção Científica,140.48,3,ES,4,Português,1
71,Capitães da Areia #71,718,2015-03-12,Ficção Científica,31.59,10,MG,11,Português,5
72,O Hobbit #72,944,2015-03-13,Ficção,122.35,6,ES,10,Inglês,3
73,1984 #73,680,2015-03-14,Realismo Mágico,94.75,8,SP,11,Português,5
74,Capitães da Areia #74,124,2015-03-15,Ficção Científica,75.35,6,RJ,2,Francês,4
75,Orgulho e Preconceito #75,902,2015-03-16,Ficção Científica,107.84,9,RJ,11,Espanhol,3
76,Capitães da Areia #76,219,2015-03-17,Romance,147.41,4,SP,8,Francês,7
77,A Revolução dos Bichos #77,146,2015-03-18,Romance,38.49,8,MG,8,Português,4
78,Drácula #78,943,2015-03-19,Romance,24.08,1,ES,1,Francês,1
79,Capitães da Areia #79,518,2015-03-20,Infantil,61.99,9,ES,7,Espanhol,0
80,A Hora da Estrela #80,558,2015-03-21,Infantil,68.69,5,ES,3,Português,1
81,Moby Dick #81,667,2015-03-22,Terror,72.15,10,ES,2,Inglês,2
82,Orgulho e Preconceito #82,157,2015-03-23,Romance,131.38,9,RJ,4,Português,5
83,Moby Dick #83,388,2015-03-24,Suspense,118.25,7,MG,1,Espanhol,0
84,Drácula #84,1090,2015-03-25,Fantasia,117.02,8,RJ,8,Inglês,4
85,O Pequeno Príncipe #85,505,2015-03-26,Ficção Científica,101.68,7,MG,11,Francês,4
86,Grande Sertão: Veredas #86,374,2015-03-27,Ficção,69.48,10,SP,4,Francês,8
87,O Código Da Vinci #87,1164,2015-03-28,Fantasia,47.47,4,SP,4,Inglês,4
88,Drácula #88,337,2015-03-29,Fantasia,137.61,8,ES,12,Francês,7
89,1984 #89,700,2015-03-30,Infantil,27.36,7,MG,2,Português,8
90,Drácula #90,516,2015-03-31,Distopia,84.88,5,ES,2,Espanhol,5
91,Grande Sertão: Veredas #91,1007,2015-04-01,Fantasia,61.57,3,MG,11,Francês,6
92,1984 #92,271,2015-04-02,Fantasia,82.01,3,MG,6,Inglês,4
93,Dom Casmurro #93,284,2015-04-03,Ficção,54.05,6,ES,9,Francês,8
94,Capitães da Areia #94,725,2015-04-04,Ficção,145.81,10,SP,1,Francês,1
95,O Hobbit #95,1199,2015-04-05,Realismo Mágico,101.26,6,ES,8,Inglês,2
96,Cem Anos de Solidão #96,925,2015-04-06,Realismo Mágico,56.96,10,ES,7,Português,5
97,Dom Casmurro #97,365,2015-04-07,Infantil,22.0,1,RJ,0,Português,7
98,Neuromancer #98,1013,2015-04-08,Fantasia,44.29,6,MG,5,Espanhol,6
99,Orgulho e Preconceito #99,1110,2015-04-09,Clássico,113.32,9,SP,2,Espanhol,6
100,It - A Coisa #100,993,2015-04-10,Realismo Mágico,38.04,10,ES,2,Português,7
101,Grande Sertão: Veredas #101,1008,2015-04-11,Ficção,119.59,7,MG,9,Inglês,1
102,Capitães da Areia #102,1007,2015-04-12,Fantasia,137.99,6,ES,7,Espanhol,4
103,O Alquimista #103,915,2015-04-13,Fantasia,52.96,10,ES,4,Espanhol,0
104,Memórias Póstumas #104,117,2015-04-14,Suspense,83.83,5,MG,4,Português,0
105,Drácula #105,538,2015-04-15,Ficção,114.43,6,ES,9,Português,5
106,Cem Anos de Solidão #106,204,2015-04-16,Clássico,22.49,6,MG,1,Francês,7
107,Moby Dick #107,971,2015-04-17,Suspense,120.58,9,MG,8,Francês,1
108,O Senhor dos Anéis #108,1093,2015-04-18,Ficção Científica,90.37,3,ES,1,Francês,6
109,O Alquimista #109,698,2015-04-19,Clássico,134.6,1,MG,8,Espanhol,1
110,O Pequeno Príncipe #110,408,2015-04-20,Romance,111.13,2,SP,3,Inglês,5
111,O Pequeno Príncipe #111,961,2015-04-21,Ficção,59.14,10,MG,10,Inglês,7
112,Memórias Póstumas #112,410,2015-04-22,Terror,27.34,8,ES,5,Português,3
113,A Hora da Estrela #113,239,2015-04-23,Distopia,89.23,6,SP,3,Espanhol,2
114,Moby Dick #114,638,2015-04-24,Suspense,20.31,6,RJ,12,Espanhol,0
115,Ensaio Sobre a Cegueira #115,644,2015-04-25,Realismo Mágico,27.44,2,RJ,3,Francês,3
116,O Pequeno Príncipe #116,564,2015-04-26,Ficção,124.51,10,SP,7,Português,7
117,O Senhor dos Anéis #117,215,2015-04-27,Romance,117.81,5,RJ,12,Português,3
118,A Hora da Estrela #118,1191,2015-04-28,Infantil,45.7,5,RJ,6,Português,4
119,Moby Dick #119,664,2015-04-29,Infantil,87.78,8,ES,3,Francês,6
120,Ensaio Sobre a Cegueira #120,888,2015-04-30,Ficção Científica,114.02,9,MG,7,Português,2
121,O Senhor dos Anéis #121,167,2015-05-01,Terror,82.07,10,MG,4,Inglês,1
122,Memórias Póstumas #122,202,2015-05-02,Fantasia,67.59,8,SP,0,Inglês,2
123,Dom Casmurro #123,1110,2015-05-03,Suspense,95.89,10,RJ,5,Espanhol,3
124,Grande Sertão: Veredas #124,1002,2015-05-04,Ficção,29.94,1,RJ,1,Português,6
125,Ensaio Sobre a Cegueira #125,1025,2015-05-05,Ficção Científica,36.57,2,SP,9,Francês,1
126,Neuromancer #126,503,2015-05-06,Romance,89.27,4,SP,8,Espanhol,4
127,It - A Coisa #127,625,2015-05-07,Ficção Científica,93.83,2,SP,11,Espanhol,3
128,It - A Coisa #128,618,2015-05-08,Romance,85.8,3,SP,6,Francês,4
129,Harry Potter #129,938,2015-05-09,Ficção Científica,73.19,5,MG,12,Francês,5
130,Harry Potter #130,318,2015-05-10,Terror,37.46,6,ES,3,Espanhol,6
131,Dom Casmurro #131,281,2015-05-11,Ficção Científica,140.19,2,SP,7,Francês,7
132,A Revolução dos Bichos #132,503,2015-05-12,Clássico,43.69,4,SP,7,Português,0
133,O Alquimista #133,115,2015-05-13,Clássico,108.19,2,MG,4,Português,0
134,Cem Anos de Solidão #134,1098,2015-05-14,Infantil,59.14,6,RJ,11,Francês,6
135,It - A Coisa #135,930,2015-05-15,Suspense,122.3,8,ES,0,Espanhol,2
136,Grande Sertão: Veredas #136,944,2015-05-16,Infantil,22.39,10,RJ,6,Francês,7
137,1984 #137,858,2015-05-17,Ficção,54.69,9,ES,9,Inglês,2
138,Dom Casmurro #138,908,2015-05-18,Distopia,131.89,5,SP,11,Português,6
139,O Alquimista #139,945,2015-05-19,Distopia,109.92,1,SP,7,Português,0
140,Neuromancer #140,535,2015-05-20,Fantasia,109.52,9,RJ,11,Espanhol,4
141,Memórias Póstumas #141,438,2015-05-21,Realismo Mágico,77.3,5,SP,9,Espanhol,0
142,O Alquimista #142,846,2015-05-22,Clássico,94.8,1,RJ,9,Inglês,2
143,O Pequeno Príncipe #143,221,2015-05-23,Realismo Mágico,130.32,10,SP,8,Francês,7
144,O Pequeno Príncipe #144,254,2015-05-24,Romance,114.73,7,SP,10,Espanhol,4
145,O Alquimista #145,182,2015-05-25,Ficção Científica,116.13,7,RJ,7,Francês,0
146,Drácula #146,1125,2015-05-26,Terror,116.37,5,MG,11,Francês,7
147,O Alquimista #147,757,2015-05-27,Romance,29.8,6,SP,6,Espanhol,7
148,A Revolução dos Bichos #148,1041,2015-05-28,Romance,48.52,1,RJ,9,Francês,1
149,O Hobbit #149,349,2015-05-29,Fantasia,106.87,5,SP,6,Francês,7
150,Dom Casmurro #150,1181,2015-05-30,Suspense,81.36,2,ES,7,Espanhol,3
151,Ensaio Sobre a Cegueira #151,613,2015-05-31,Distopia,84.57,3,ES,3,Francês,2
152,O Código Da Vinci #152,359,2015-06-01,Ficção,92.73,10,MG,6,Inglês,2
153,A Hora da Estrela #153,951,2015-06-02,Ficção,37.8,8,SP,5,Inglês,1
154,Moby Dick #154,625,2015-06-03,Infantil,20.54,3,ES,3,Inglês,7
155,Cem Anos de Solidão #155,913,2015-06-04,Suspense,53.68,5,SP,4,Espanhol,1
156,O Código Da Vinci #156,271,2015-06-05,Romance,44.29,9,MG,11,Francês,5
157,Capitães da Areia #157,952,2015-06-06,Distopia,45.63,6,MG,9,Inglês,4
158,O Senhor dos Anéis #158,1074,2015-06-07,Realismo Mágico,86.64,4,RJ,4,Francês,7
159,Orgulho e Preconceito #159,396,2015-06-08,Realismo Mágico,109.83,2,ES,6,Português,1
160,Moby Dick #160,638,2015-06-09,Clássico,106.88,9,ES,10,Inglês,8
161,It - A Coisa #161,86,2015-06-10,Realismo Mágico,84.22,6,SP,9,Espanhol,7
162,O Hobbit #162,185,2015-06-11,Distopia,145.57,5,MG,10,Português,0
163,A Revolução dos Bichos #163,231,2015-06-12,Clássico,99.49,4,ES,7,Português,5
164,Neuromancer #164,865,2015-06-13,Distopia,136.71,4,ES,0,Espanhol,2
165,Orgulho e Preconceito #165,282,2015-06-14,Terror,141.09,6,MG,6,Francês,5
166,O Pequeno Príncipe #166,1046,2015-06-15,Ficção,53.76,2,SP,8,Português,8
167,O Senhor dos Anéis #167,1055,2015-06-16,Infantil,32.13,5,RJ,5,Inglês,2
168,Cem Anos de Solidão #168,1113,2015-06-17,Realismo Mágico,82.22,4,MG,0,Espanhol,0
169,Memórias Póstumas #169,143,2015-06-18,Ficção Científica,100.95,9,MG,5,Português,7
170,O Código Da Vinci #170,304,2015-06-19,Suspense,67.76,1,RJ,3,Inglês,7
171,Cem Anos de Solidão #171,1051,2015-06-20,Clássico,82.11,9,MG,10,Português,5
172,A Hora da Estrela #172,331,2015-06-21,Fantasia,21.91,1,RJ,3,Português,2
173,Harry Potter #173,406,2015-06-22,Realismo Mágico,20.9,6,ES,3,Francês,2
174,Orgulho e Preconceito #174,115,2015-06-23,Ficção,36.19,9,SP,8,Português,8
175,A Revolução dos Bichos #175,1184,2015-06-24,Suspense,39.63,6,ES,6,Espanhol,3
176,Drácula #176,695,2015-06-25,Infantil,111.76,2,RJ,7,Francês,2
177,A Hora da Estrela #177,85,2015-06-26,Realismo Mágico,115.17,10,RJ,5,Português,4
178,O Senhor dos Anéis #178,234,2015-06-27,Realismo Mágico,81.93,9,MG,11,Português,3
179,O Hobbit #179,369,2015-06-28,Infantil,36.79,3,SP,4,Inglês,1
180,O Senhor dos Anéis #180,96,2015-06-29,Distopia,123.63,2,MG,1,Espanhol,7
181,A Hora da Estrela #181,854,2015-06-30,Romance,62.63,6,SP,6,Inglês,1
182,O Senhor dos Anéis #182,825,2015-07-01,Suspense,140.66,8,ES,8,Espanhol,8
183,Harry Potter #183,714,2015-07-02,Terror,38.87,8,RJ,2,Espanhol,3
184,A Revolução dos Bichos #184,94,2015-07-03,Realismo Mágico,28.03,1,ES,9,Espanhol,4
185,Dom Casmurro #185,221,2015-07-04,Terror,50.76,2,RJ,12,Português,4
186,O Alquimista #186,851,2015-07-05,Romance,55.32,9,ES,4,Espanhol,1
187,O Senhor dos Anéis #187,1143,2015-07-06,Clássico,143.41,7,RJ,7,Inglês,0
188,1984 #188,554,2015-07-07,Suspense,29.59,2,ES,4,Inglês,1
189,Moby Dick #189,629,2015-07-08,Realismo Mágico,143.24,1,SP,5,Espanhol,4
190,O Senhor dos Anéis #190,713,2015-07-09,Ficção Científica,44.74,3,MG,3,Francês,3
191,A Hora da Estrela #191,1118,2015-07-10,Infantil,148.63,8,ES,11,Espanhol,6
192,A Hora da Estrela #192,324,2015-07-11,Clássico,121.44,5,ES,5,Francês,1
193,It - A Coisa #193,950,2015-07-12,Ficção Científica,87.21,9,ES,8,Português,8
194,Ensaio Sobre a Cegueira #194,880,2015-07-13,Suspense,116.23,1,MG,2,Português,0
195,1984 #195,1104,2015-07-14,Romance,30.65,3,MG,10,Português,7
196,O Código Da Vinci #196,528,2015-07-15,Clássico,75.56,2,ES,6,Espanhol,5
197,1984 #197,588,2015-07-16,Ficção Científica,108.75,10,ES,5,Espanhol,0
198,A Revolução dos Bichos #198,915,2015-07-17,Ficção,69.12,1,RJ,4,Inglês,0
199,O Senhor dos Anéis #199,838,2015-07-18,Ficção,26.64,4,ES,4,Inglês,5
200,O Pequeno Príncipe #200,374,2015-07-19,Terror,117.16,5,SP,2,Espanhol,1
201,It - A Coisa #201,166,2015-07-20,Terror,39.25,4,MG,8,Português,2
202,A Revolução dos Bichos #202,812,2015-07-21,Fantasia,35.51,3,SP,10,Inglês,1
203,Ensaio Sobre a Cegueira #203,1083,2015-07-22,Ficção,46.8,1,MG,5,Espanhol,3
204,Capitães da Areia #204,683,2015-07-23,Suspense,110.08,1,RJ,5,Português,7
205,It - A Coisa #205,751,2015-07-24,Terror,110.86,9,SP,11,Francês,1
206,Drácula #206,863,2015-07-25,Infantil,145.1,4,MG,8,Inglês,4
207,Orgulho e Preconceito #207,786,2015-07-26,Suspense,126.97,5,RJ,8,Francês,2
208,Dom Casmurro #208,801,2015-07-27,Ficção,27.97,3,SP,10,Espanhol,0
209,1984 #209,634,2015-07-28,Ficção,136.52,4,SP,12,Francês,2
210,O Hobbit #210,128,2015-07-29,Suspense,119.44,6,RJ,8,Espanhol,0
211,Grande Sertão: Veredas #211,742,2015-07-30,Ficção,46.09,5,ES,0,Português,6
212,Harry Potter #212,836,2015-07-31,Terror,111.58,7,RJ,8,Português,1
213,O Hobbit #213,273,2015-08-01,Infantil,45.18,4,MG,10,Inglês,4
214,A Revolução dos Bichos #214,493,2015-08-02,Suspense,86.16,6,RJ,5,Espanhol,0
215,O Hobbit #215,1191,2015-08-03,Terror,110.42,3,RJ,6,Francês,3
216,A Hora da Estrela #216,569,2015-08-04,Terror,66.28,8,RJ,11,Francês,6
217,Ensaio Sobre a Cegueira #217,1152,2015-08-05,Realismo Mágico,25.81,1,RJ,4,Inglês,4
218,It - A Coisa #218,699,2015-08-06,Clássico,33.3,4,RJ,7,Português,0
219,Grande Sertão: Veredas #219,1161,2015-08-07,Clássico,95.89,9,MG,1,Português,5
220,Capitães da Areia #220,582,2015-08-08,Fantasia,40.91,3,RJ,11,Inglês,2
221,Cem Anos de Solidão #221,919,2015-08-09,Romance,144.13,7,ES,10,Português,5
222,O Alquimista #222,933,2015-08-10,Distopia,130.34,9,ES,1,Espanhol,5
223,Grande Sertão: Veredas #223,92,2015-08-11,Clássico,39.82,1,SP,8,Inglês,0
224,Orgulho e Preconceito #224,363,2015-08-12,Clássico,136.08,5,ES,4,Português,3
225,Dom Casmurro #225,1059,2015-08-13,Terror,45.28,2,MG,6,Inglês,2
226,A Revolução dos Bichos #226,887,2015-08-14,Suspense,102.82,3,MG,4,Português,8
227,Moby Dick #227,271,2015-08-15,Distopia,141.57,3,ES,11,Inglês,4
228,Moby Dick #228,585,2015-08-16,Fantasia,105.87,3,RJ,3,Francês,3
229,O Pequeno Príncipe #229,163,2015-08-17,Fantasia,40.9,4,MG,12,Espanhol,2
230,O Pequeno Príncipe #230,720,2015-08-18,Realismo Mágico,69.16,1,RJ,5,Português,6
231,Grande Sertão: Veredas #231,182,2015-08-19,Realismo Mágico,100.66,8,MG,1,Francês,3
232,Capitães da Areia #232,947,2015-08-20,Ficção,119.62,3,RJ,4,Francês,6
233,O Senhor dos Anéis #233,390,2015-08-21,Suspense,104.08,6,MG,4,Espanhol,5
234,Cem Anos de Solidão #234,163,2015-08-22,Ficção Científica,133.69,8,SP,3,Inglês,0
235,Grande Sertão: Veredas #235,902,2015-08-23,Distopia,39.34,9,RJ,6,Português,8
236,1984 #236,894,2015-08-24,Realismo Mágico,138.79,6,RJ,8,Francês,6
237,A Hora da Estrela #237,449,2015-08-25,Suspense,69.94,1,SP,10,Português,4
238,O Hobbit #238,704,2015-08-26,Terror,89.81,3,RJ,3,Francês,3
239,A Hora da Estrela #239,201,2015-08-27,Terror,69.99,5,RJ,7,Português,2
240,Dom Casmurro #240,247,2015-08-28,Romance,120.17,5,MG,3,Francês,2
241,Cem Anos de Solidão #241,861,2015-08-29,Distopia,97.93,6,SP,10,Inglês,0
242,A Revolução dos Bichos #242,501,2015-08-30,Infantil,86.59,4,MG,4,Inglês,4
243,A Hora da Estrela #243,967,2015-08-31,Suspense,72.19,2,SP,8,Espanhol,4
244,1984 #244,428,2015-09-01,Ficção Científica,131.08,3,RJ,4,Francês,2
245,O Pequeno Príncipe #245,121,2015-09-02,Clássico,122.76,8,RJ,10,Francês,5
246,1984 #246,830,2015-09-03,Suspense,73.17,9,RJ,10,Português,8
247,O Alquimista #247,1171,2015-09-04,Distopia,27.29,10,ES,5,Francês,3
248,O Código Da Vinci #248,1040,2015-09-05,Clássico,46.03,10,SP,10,Francês,6
249,Memórias Póstumas #249,658,2015-09-06,Clássico,20.4,7,SP,12,Espanhol,3
250,Cem Anos de Solidão #250,1187,2015-09-07,Realismo Mágico,144.29,4,RJ,12,Português,1
251,O Hobbit #251,775,2015-09-08,Fantasia,141.19,2,ES,12,Francês,0
252,Grande Sertão: Veredas #252,508,2015-09-09,Distopia,138.08,3,SP,6,Português,2
253,Capitães da Areia #253,975,2015-09-10,Infantil,41.19,1,ES,7,Português,0
254,Drácula #254,296,2015-09-11,Ficção Científica,63.68,7,MG,9,Espanhol,8
255,It - A Coisa #255,1148,2015-09-12,Terror,105.81,3,SP,1,Francês,7
256,O Senhor dos Anéis #256,586,2015-09-13,Distopia,80.71,6,MG,2,Francês,3
257,Dom Casmurro #257,671,2015-09-14,Realismo Mágico,108.34,10,RJ,1,Português,5
258,Dom Casmurro #258,463,2015-09-15,Ficção,102.72,2,SP,7,Francês,6
259,O Senhor dos Anéis #259,150,2015-09-16,Terror,20.77,3,ES,9,Espanhol,1
260,Cem Anos de Solidão #260,724,2015-09-17,Terror,87.2,10,ES,12,Francês,5
261,Ensaio Sobre a Cegueira #261,758,2015-09-18,Clássico,23.27,3,MG,5,Inglês,4
262,Cem Anos de Solidão #262,973,2015-09-19,Ficção,26.36,9,ES,10,Inglês,7
263,A Hora da Estrela #263,383,2015-09-20,Distopia,144.8,5,ES,3,Português,1
264,Grande Sertão: Veredas #264,1078,2015-09-21,Ficção Científica,148.44,8,ES,4,Inglês,0
265,Neuromancer #265,979,2015-09-22,Infantil,98.72,5,RJ,2,Português,5
266,O Hobbit #266,327,2015-09-23,Fantasia,121.73,10,MG,5,Português,6
267,Capitães da Areia #267,544,2015-09-24,Realismo Mágico,44.88,3,RJ,0,Português,6
268,Capitães da Areia #268,213,2015-09-25,Distopia,91.95,5,SP,6,Espanhol,2
269,Capitães da Areia #269,370,2015-09-26,Realismo Mágico,50.14,6,SP,10,Inglês,7
270,O Hobbit #270,93,2015-09-27,Realismo Mágico,61.46,3,ES,0,Francês,1
271,Drácula #271,1042,2015-09-28,Ficção,73.85,5,RJ,11,Inglês,5
272,O Alquimista #272,1116,2015-09-29,Ficção,145.94,4,ES,10,Francês,8
273,Grande Sertão: Veredas #273,316,2015-09-30,Infantil,69.92,2,RJ,6,Francês,4
274,Ensaio Sobre a Cegueira #274,1068,2015-10-01,Ficção Científica,96.84,4,SP,5,Inglês,7
275,Grande Sertão: Veredas #275,254,2015-10-02,Suspense,127.81,7,SP,1,Inglês,3
276,Memórias Póstumas #276,573,2015-10-03,Distopia,130.79,5,RJ,0,Português,2
277,Memórias Póstumas #277,758,2015-10-04,Infantil,60.4,6,SP,0,Inglês,8
278,A Revolução dos Bichos #278,426,2015-10-05,Suspense,87.57,7,ES,0,Espanhol,1
279,Cem Anos de Solidão #279,131,2015-10-06,Clássico,30.87,4,SP,6,Espanhol,6
280,Neuromancer #280,237,2015-10-07,Realismo Mágico,21.37,1,MG,0,Espanhol,2
281,A Revolução dos Bichos #281,708,2015-10-08,Terror,136.17,2,SP,3,Francês,0
282,A Revolução dos Bichos #282,82,2015-10-09,Terror,83.84,7,MG,8,Português,0
283,Moby Dick #283,121,2015-10-10,Suspense,123.12,10,ES,6,Inglês,2
284,Orgulho e Preconceito #284,1134,2015-10-11,Infantil,22.77,4,SP,12,Espanhol,8
285,Harry Potter #285,929,2015-10-12,Clássico,135.97,10,ES,12,Espanhol,0
286,Drácula #286,515,2015-10-13,Romance,40.7,3,SP,9,Inglês,3
287,Harry Potter #287,547,2015-10-14,Ficção,113.68,4,RJ,12,Francês,4
288,O Código Da Vinci #288,1120,2015-10-15,Ficção Científica,35.82,7,MG,4,Inglês,4
289,Ensaio Sobre a Cegueira #289,300,2015-10-16,Infantil,146.21,6,ES,6,Inglês,6
290,O Alquimista #290,634,2015-10-17,Clássico,55.41,1,ES,9,Português,1
291,Moby Dick #291,379,2015-10-18,Realismo Mágico,43.72,7,ES,5,Português,1
292,O Senhor dos Anéis #292,407,2015-10-19,Distopia,52.22,6,ES,3,Francês,4
293,O Código Da Vinci #293,299,2015-10-20,Suspense,32.06,7,ES,10,Inglês,1
294,1984 #294,138,2015-10-21,Terror,124.98,6,ES,4,Português,3
295,Dom Casmurro #295,658,2015-10-22,Fantasia,133.46,3,ES,10,Português,5
296,It - A Coisa #296,823,2015-10-23,Clássico,37.25,8,SP,3,Português,2
297,Cem Anos de Solidão #297,987,2015-10-24,Suspense,50.89,8,MG,10,Português,3
298,O Hobbit #298,571,2015-10-25,Suspense,36.91,5,ES,10,Espanhol,5
